Source,Target,Type
1128890580921044993,12,Undirected
1129698201450291202,10,Undirected
1129918079566094336,12,Undirected
1128523343177535493,13,Undirected
1129528029615538176,12,Undirected
1127884647562506240,12,Undirected
1130052866129850369,14,Undirected
1130269188231053312,11,Undirected
1128083716868268032,12,Undirected
1129729390445780994,13,Undirected
1127698699251924992,12,Undirected
1129693485966082048,12,Undirected
1129603739097001984,13,Undirected
1129630653157298177,11,Undirected
1128105859907588096,10,Undirected
1129522068070862848,12,Undirected
1129986144190337024,11,Undirected
1128067961262985222,12,Undirected
1128843193766879237,12,Undirected
1128879411250454528,13,Undirected
1127389088259104768,11,Undirected
1130347539662663680,12,Undirected
1128274868011552768,11,Undirected
1129654398529855490,11,Undirected
1127862576287641600,10,Undirected
1127119730223935489,14,Undirected
1129864792406020096,11,Undirected
1127909109661962240,12,Undirected
1129228147281485824,13,Undirected
1129556103769890817,14,Undirected
1129597632135872512,12,Undirected
1129002605068161024,10,Undirected
1128906779033722880,10,Undirected
1129172676864462848,11,Undirected
1129686791236100101,12,Undirected
1128999850064801792,11,Undirected
1130217997669322753,12,Undirected
1129343438355197952,10,Undirected
1129674101008678912,14,Undirected
1129706294951079936,10,Undirected
1129886055728078849,10,Undirected
1129672986733113344,12,Undirected
1127879165972103168,11,Undirected
1129905511665623040,10,Undirected
1130399505470279681,11,Undirected
1129926359206121472,10,Undirected
1129009824572686336,14,Undirected
1127313887047536640,10,Undirected
1127341104041381888,10,Undirected
1128891404044853248,12,Undirected
1127072566785372160,11,Undirected
1129588599064633345,10,Undirected
1129205588552847360,12,Undirected
1129629176057614336,12,Undirected
1127108207648825344,14,Undirected
1127201687448346624,14,Undirected
1128562385655029760,11,Undirected
1129685522161422336,11,Undirected
1129693548712849408,12,Undirected
1129746075378700288,14,Undirected
1127390868707561472,11,Undirected
1127875554089349120,14,Undirected
1127774875794337793,12,Undirected
1129690189280845824,11,Undirected
1129716770418257920,12,Undirected
1127882363122241536,11,Undirected
1129656092105908224,10,Undirected
1129612347444568064,12,Undirected
1129201032637046786,12,Undirected
1128868098214260736,12,Undirected
1129716970905980928,12,Undirected
1129736071309418497,10,Undirected
1129683952610947072,10,Undirected
1128538285951709185,11,Undirected
1129194550247866368,14,Undirected
1129729747058122752,10,Undirected
1129644638049058816,12,Undirected
1128792474971807744,11,Undirected
1129703332992315394,10,Undirected
1127360451438755840,12,Undirected
1129611458734465024,12,Undirected
1129257998528831488,12,Undirected
1129700484132958210,10,Undirected
1127512377346289664,12,Undirected
1129604301007908865,12,Undirected
1130049785690353667,10,Undirected
1127732467966726144,11,Undirected
1128862603931860995,10,Undirected
1128167343652139008,10,Undirected
1127450758020882432,13,Undirected
1129532876809166848,12,Undirected
1127394599213748224,12,Undirected
1129594477977333760,12,Undirected
1129720119578415105,10,Undirected
1129231370184790017,11,Undirected
1128142528090238977,13,Undirected
1129728125217247233,12,Undirected
1128040630326743040,12,Undirected
1129402576204468224,14,Undirected
1128952800170336256,14,Undirected
1129718605401092096,11,Undirected
1127094858730987525,12,Undirected
1129307735034437633,10,Undirected
1129522354025926656,12,Undirected
1128802034147155968,11,Undirected
1129721623483826177,11,Undirected
1129912336251215877,14,Undirected
1127363655421448192,12,Undirected
1127669723288653824,10,Undirected
1129348199179669504,13,Undirected
1128259823449939968,12,Undirected
1127382824175058944,12,Undirected
1128858240056418307,10,Undirected
1128973180117299200,12,Undirected
1129731768830054400,10,Undirected
1128856170054135808,10,Undirected
1129700203609485312,12,Undirected
1129639803320918016,13,Undirected
1127534523451756544,12,Undirected
1129962703886307328,12,Undirected
1129776311960924161,12,Undirected
1129233069204881408,11,Undirected
1128138697537273857,10,Undirected
1130368319851094018,11,Undirected
1128153497700950016,12,Undirected
1130243594160230400,11,Undirected
1129689863349972993,10,Undirected
1129699431391977472,10,Undirected
