Source,Target,Type
1129565048316125185,10,Undirected
1129749695612497921,14,Undirected
1128115292079415296,10,Undirected
1127835201206284289,10,Undirected
1129895362007773184,10,Undirected
1127838453847040000,11,Undirected
1129135236996984834,14,Undirected
1127698716326891520,12,Undirected
1129694863375474689,12,Undirected
1128485208406183937,10,Undirected
1127392193025462272,10,Undirected
1127534398562193409,10,Undirected
1129695272911507456,11,Undirected
1129657694284066816,12,Undirected
1127349680814166016,10,Undirected
1129713944321380352,11,Undirected
1129833383574425600,12,Undirected
1128453033803730944,11,Undirected
1127391215161208832,13,Undirected
1130335918487789570,12,Undirected
1129939248046493696,12,Undirected
1129873576109248513,10,Undirected
1128776094960631808,12,Undirected
1127345851049713664,11,Undirected
1128999211750514689,12,Undirected
1129523797965410306,11,Undirected
1128916434027855872,12,Undirected
1129857979375849472,10,Undirected
1129694156891099136,12,Undirected
1127498883519565831,11,Undirected
1129293963846856704,12,Undirected
1129694387464654848,12,Undirected
1129714371381252098,12,Undirected
1129095509807734784,12,Undirected
1128294913001418752,11,Undirected
1129225699175219200,14,Undirected
1129743213064065031,12,Undirected
1128125902515163136,14,Undirected
1130081155766771712,10,Undirected
1129257798947053570,12,Undirected
1129701658064146432,14,Undirected
1129625718772514816,10,Undirected
1127101103319871489,10,Undirected
1127145274416058368,11,Undirected
1127200334864982016,10,Undirected
1128966724592652288,10,Undirected
1127485645218205696,10,Undirected
1127124720573222912,10,Undirected
1129466734639890432,12,Undirected
1127719656859455488,13,Undirected
1129682785222873088,12,Undirected
1127509129541685250,10,Undirected
1130293119390429190,10,Undirected
1129868547109208064,14,Undirected
1130408887704678401,11,Undirected
1128269603598004226,11,Undirected
1129587342866391040,12,Undirected
1129258206339842049,12,Undirected
1129182665477828608,12,Undirected
1126989574570250240,10,Undirected
1128870368985305089,10,Undirected
1129627695132815360,12,Undirected
1129654388803301377,10,Undirected
1129699834170994688,11,Undirected
1127399688548655105,12,Undirected
1130084750671130624,12,Undirected
1130370608020086784,10,Undirected
1129758397027500033,12,Undirected
1129535658752598016,14,Undirected
1128937343249833984,14,Undirected
